osmid,geom
4045405632,POINT (-122.4181731 37.8021349)
4045405582,POINT (-122.4181664 37.8021419)
4045405542,POINT (-122.4181304 37.8021921)
4045405529,POINT (-122.4181229 37.8021999)
4045405609,POINT (-122.4181136 37.8022062)
4045405607,POINT (-122.4181037 37.8022102)
4045405541,POINT (-122.4180923 37.802213)
1264329153,POINT (-122.4180807 37.8022151)
4045405599,POINT (-122.4180519 37.8022175)
4045405535,POINT (-122.4180225 37.8022187)
65362185,POINT (-122.4179869 37.8022186)
