TAZ,distr,AMshare,PMshare,OPshare
199,8,0.10,0.08,0.12
200,7,0.05,0.04,0.05
201,8,0.10,0.08,0.12
202,8,0.10,0.08,0.12
203,7,0.05,0.04,0.05
204,8,0.10,0.08,0.12
205,9,0.10,0.09,0.12
206,4,0.04,0.03,0.05
207,4,0.04,0.03,0.05
208,4,0.04,0.03,0.05
209,10,0.07,0.07,0.09
210,5,0.14,0.13,0.19
211,5,0.14,0.13,0.19
212,8,0.10,0.08,0.12
213,5,0.14,0.13,0.19
214,10,0.07,0.07,0.09
215,5,0.14,0.13,0.19
216,4,0.04,0.03,0.05
217,8,0.10,0.08,0.12
218,4,0.04,0.03,0.05
219,4,0.04,0.03,0.05
220,4,0.04,0.03,0.05
221,8,0.10,0.08,0.12
222,5,0.14,0.13,0.19
223,9,0.10,0.09,0.12
224,5,0.14,0.13,0.19
225,5,0.14,0.13,0.19
226,5,0.14,0.13,0.19
227,5,0.14,0.13,0.19
228,5,0.14,0.13,0.19
229,5,0.14,0.13,0.19
230,9,0.10,0.09,0.12
231,8,0.10,0.08,0.12
232,8,0.10,0.08,0.12
233,5,0.14,0.13,0.19
234,8,0.10,0.08,0.12
235,5,0.14,0.13,0.19
236,9,0.10,0.09,0.12
237,5,0.14,0.13,0.19
238,8,0.10,0.08,0.12
239,5,0.14,0.13,0.19
240,5,0.14,0.13,0.19
241,5,0.14,0.13,0.19
242,8,0.10,0.08,0.12
243,5,0.14,0.13,0.19
244,5,0.14,0.13,0.19
245,5,0.14,0.13,0.19
246,5,0.14,0.13,0.19
247,5,0.14,0.13,0.19
248,5,0.14,0.13,0.19
249,5,0.14,0.13,0.19
250,1,0.08,0.07,0.10
251,1,0.08,0.07,0.10
252,5,0.14,0.13,0.19
253,5,0.14,0.13,0.19
254,5,0.14,0.13,0.19
255,5,0.14,0.13,0.19
256,5,0.14,0.13,0.19
257,1,0.08,0.07,0.10
258,5,0.14,0.13,0.19
259,5,0.14,0.13,0.19
260,1,0.08,0.07,0.10
261,1,0.08,0.07,0.10
262,1,0.08,0.07,0.10
263,1,0.08,0.07,0.10
264,1,0.08,0.07,0.10
265,5,0.14,0.13,0.19
266,1,0.08,0.07,0.10
267,5,0.14,0.13,0.19
268,5,0.14,0.13,0.19
269,1,0.08,0.07,0.10
270,1,0.08,0.07,0.10
271,1,0.08,0.07,0.10
272,5,0.14,0.13,0.19
273,1,0.08,0.07,0.10
274,1,0.08,0.07,0.10
275,5,0.14,0.13,0.19
276,1,0.08,0.07,0.10
277,5,0.14,0.13,0.19
278,5,0.14,0.13,0.19
279,1,0.08,0.07,0.10
280,1,0.08,0.07,0.10
281,5,0.14,0.13,0.19
282,1,0.08,0.07,0.10
283,5,0.14,0.13,0.19
284,1,0.08,0.07,0.10
285,1,0.08,0.07,0.10
286,6,0.25,0.26,0.32
287,1,0.08,0.07,0.10
288,1,0.08,0.07,0.10
289,1,0.08,0.07,0.10
290,5,0.14,0.13,0.19
291,1,0.08,0.07,0.10
292,5,0.14,0.13,0.19
293,1,0.08,0.07,0.10
294,1,0.08,0.07,0.10
295,1,0.08,0.07,0.10
296,6,0.25,0.26,0.32
297,1,0.08,0.07,0.10
298,1,0.08,0.07,0.10
299,6,0.25,0.26,0.32
300,6,0.25,0.26,0.32
301,5,0.14,0.13,0.19
302,6,0.25,0.26,0.32
303,5,0.14,0.13,0.19
304,6,0.25,0.26,0.32
305,,,,
306,1,0.08,0.07,0.10
307,1,0.08,0.07,0.10
308,6,0.25,0.26,0.32
309,1,0.08,0.07,0.10
310,5,0.14,0.13,0.19
311,2,0.20,0.17,0.22
312,1,0.08,0.07,0.10
313,,,,
314,1,0.08,0.07,0.10
315,1,0.08,0.07,0.10
316,1,0.08,0.07,0.10
317,2,0.20,0.17,0.22
318,5,0.14,0.13,0.19
319,3,0.19,0.20,0.25
320,2,0.20,0.17,0.22
321,5,0.14,0.13,0.19
322,3,0.19,0.20,0.25
323,2,0.20,0.17,0.22
324,1,0.08,0.07,0.10
325,5,0.14,0.13,0.19
326,5,0.14,0.13,0.19
327,3,0.19,0.20,0.25
328,2,0.20,0.17,0.22
329,2,0.20,0.17,0.22
330,2,0.20,0.17,0.22
331,2,0.20,0.17,0.22
332,3,0.19,0.20,0.25
333,3,0.19,0.20,0.25
334,3,0.19,0.20,0.25
335,2,0.20,0.17,0.22
336,2,0.20,0.17,0.22
337,2,0.20,0.17,0.22
338,2,0.20,0.17,0.22
339,3,0.19,0.20,0.25
340,2,0.20,0.17,0.22
341,3,0.19,0.20,0.25
342,2,0.20,0.17,0.22
343,3,0.19,0.20,0.25
344,3,0.19,0.20,0.25
345,3,0.19,0.20,0.25
346,3,0.19,0.20,0.25
347,2,0.20,0.17,0.22
348,3,0.19,0.20,0.25
349,2,0.20,0.17,0.22
350,2,0.20,0.17,0.22
351,3,0.19,0.20,0.25
352,3,0.19,0.20,0.25
353,2,0.20,0.17,0.22
354,3,0.19,0.20,0.25
355,3,0.19,0.20,0.25
356,2,0.20,0.17,0.22
357,3,0.19,0.20,0.25
358,3,0.19,0.20,0.25
359,2,0.20,0.17,0.22
360,2,0.20,0.17,0.22
361,3,0.19,0.20,0.25
362,3,0.19,0.20,0.25
363,2,0.20,0.17,0.22
364,3,0.19,0.20,0.25
365,2,0.20,0.17,0.22
366,2,0.20,0.17,0.22
367,3,0.19,0.20,0.25
368,2,0.20,0.17,0.22
369,2,0.20,0.17,0.22
370,2,0.20,0.17,0.22
371,3,0.19,0.20,0.25
