TAZ,distr,AMshare,PMshare,OPshare
879,10,0.07,0.07,0.09
880,10,0.07,0.07,0.09
881,10,0.07,0.07,0.09
882,10,0.07,0.07,0.09
883,7,0.05,0.04,0.05
884,7,0.05,0.04,0.05
885,11,0.03,0.02,0.04
886,11,0.03,0.02,0.04
887,7,0.05,0.04,0.05
888,7,0.05,0.04,0.05
889,10,0.07,0.07,0.09
890,10,0.07,0.07,0.09
891,10,0.07,0.07,0.09
892,10,0.07,0.07,0.09
893,10,0.07,0.07,0.09
894,9,0.10,0.09,0.12
895,10,0.07,0.07,0.09
896,10,0.07,0.07,0.09
897,10,0.07,0.07,0.09
898,7,0.05,0.04,0.05
899,7,0.05,0.04,0.05
900,9,0.10,0.09,0.12
901,9,0.10,0.09,0.12
902,10,0.07,0.07,0.09
903,10,0.07,0.07,0.09
904,10,0.07,0.07,0.09
905,10,0.07,0.07,0.09
906,10,0.07,0.07,0.09
907,10,0.07,0.07,0.09
908,7,0.05,0.04,0.05
909,7,0.05,0.04,0.05
910,11,0.03,0.02,0.04
911,11,0.03,0.02,0.04
912,11,0.03,0.02,0.04
913,7,0.05,0.04,0.05
914,7,0.05,0.04,0.05
915,7,0.05,0.04,0.05
916,7,0.05,0.04,0.05
917,7,0.05,0.04,0.05
918,7,0.05,0.04,0.05
919,5,0.14,0.13,0.19
920,5,0.14,0.13,0.19
921,5,0.14,0.13,0.19
922,1,0.08,0.07,0.10
923,5,0.14,0.13,0.19
924,6,0.25,0.26,0.32
925,6,0.25,0.26,0.32
926,6,0.25,0.26,0.32
927,6,0.25,0.26,0.32
928,6,0.25,0.26,0.32
929,6,0.25,0.26,0.32
930,3,0.19,0.20,0.25
931,3,0.19,0.20,0.25
932,3,0.19,0.20,0.25
933,3,0.19,0.20,0.25
934,3,0.19,0.20,0.25
935,3,0.19,0.20,0.25
936,3,0.19,0.20,0.25
937,3,0.19,0.20,0.25
938,3,0.19,0.20,0.25
939,3,0.19,0.20,0.25
940,3,0.19,0.20,0.25
941,3,0.19,0.20,0.25
942,6,0.25,0.26,0.32
943,6,0.25,0.26,0.32
944,3,0.19,0.20,0.25
945,3,0.19,0.20,0.25
946,3,0.19,0.20,0.25
947,3,0.19,0.20,0.25
948,3,0.19,0.20,0.25
949,3,0.19,0.20,0.25
950,3,0.19,0.20,0.25
951,3,0.19,0.20,0.25
952,3,0.19,0.20,0.25
953,3,0.19,0.20,0.25
954,3,0.19,0.20,0.25
955,3,0.19,0.20,0.25
956,3,0.19,0.20,0.25
957,3,0.19,0.20,0.25
959,2,0.20,0.17,0.22
960,2,0.20,0.17,0.22
961,2,0.20,0.17,0.22
962,2,0.20,0.17,0.22
963,2,0.20,0.17,0.22
964,2,0.20,0.17,0.22
965,2,0.20,0.17,0.22
966,2,0.20,0.17,0.22
967,2,0.20,0.17,0.22
968,2,0.20,0.17,0.22
969,2,0.20,0.17,0.22
970,2,0.20,0.17,0.22
971,2,0.20,0.17,0.22
972,2,0.20,0.17,0.22
973,2,0.20,0.17,0.22
974,2,0.20,0.17,0.22
975,2,0.20,0.17,0.22
976,2,0.20,0.17,0.22
977,2,0.20,0.17,0.22
978,2,0.20,0.17,0.22
979,2,0.20,0.17,0.22
980,2,0.20,0.17,0.22
768,6,0.25,0.26,0.32
981,6,0.25,0.26,0.32
808,3,0.19,0.20,0.25
958,3,0.19,0.20,0.25
