,O,D,flow
320,6847,11924,1
321,32941,31765,1
322,17001,41988,1
323,11201,11864,1
324,26551,30820,1
325,26111,10475,1
326,14715,31485,1
327,6020,27782,1
328,16135,22336,2
329,30356,16403,1
330,27827,41488,1
331,30099,26866,1
332,29077,30320,1
333,10628,3754,1
334,32239,2452,1
335,13344,4661,1
336,31324,4661,1
337,23715,4642,1
338,20938,24222,1
339,9249,35926,1
340,35633,39329,1
341,3295,6664,1
342,8755,6666,1
343,20399,6664,1
344,9281,17379,1
345,32412,10617,1
346,39103,16720,1
347,19353,37650,1
348,878,2773,1
349,10125,13470,1
350,22219,26169,1
351,28729,18875,1
352,4051,26669,1
353,31141,7110,1
354,871,6236,1
355,14692,9567,1
356,40300,33957,1
357,25691,3569,1
358,29976,34285,1
359,22240,11877,1
360,22239,34285,1
361,6806,19245,1
362,7271,656,1
363,6161,5681,1
364,32370,7080,1
365,11708,5681,1
366,9245,20249,1
367,20387,15485,1
368,31611,6373,1
369,25111,30148,1
370,2695,3726,1
371,2945,26842,1
372,25125,11438,1
373,22326,1892,1
374,40455,38196,1
375,11986,11027,1
376,32598,31962,1
377,32561,756,1
378,12938,19084,1
379,32391,37589,1
380,21150,31626,1
381,39851,3392,1
382,856,5157,1
383,12721,265,1
384,16509,23633,1
385,12726,15282,1
386,4713,7363,1
387,7508,10562,1
388,5623,8727,1
389,15273,22198,1
390,1574,30519,1
391,20673,14056,1
392,10472,38281,1
393,2513,38469,1
394,12766,22391,1
395,2636,29612,1
396,14727,16222,1
397,30336,26120,1
398,26424,11793,1
399,23626,29450,1
400,20297,9006,1
401,10501,2984,1
402,10500,2984,1
403,11146,4231,1
404,26460,7083,1
405,15282,28810,1
406,19353,28812,1
407,9998,19084,1
408,14051,11447,1
409,27508,6030,1
410,9167,20305,1
411,41674,3195,1
412,14952,11452,1
413,11127,27388,1
414,21248,27487,1
415,27443,36993,1
416,17510,20378,1
417,28031,12906,1
418,22242,7439,1
419,27900,27399,1
420,15755,2769,1
421,15755,2767,1
422,32946,17918,1
423,17188,8642,1
424,16227,31152,1
425,17190,31152,1
426,14742,32090,1
427,20729,3741,1
428,13158,36244,1
429,13156,36246,1
430,2982,493,1
431,12933,17336,1
432,633,35619,1
433,853,11897,1
434,16746,18840,1
435,11904,31221,1
436,6901,14199,1
437,40994,11629,1
438,41956,41215,1
439,5485,634,1
440,7108,41531,1
441,14234,24637,1
442,22030,31923,1
443,20905,6825,1
444,15500,7085,1
445,18530,30904,1
446,30275,6728,1
447,33200,11499,1
448,22264,25700,1
449,4725,31386,1
450,37300,39724,1
451,28816,16637,1
452,22105,26535,1
453,14049,27386,1
454,15958,28002,1
455,27516,30539,1
456,33860,31629,1
457,13447,14423,1
458,37531,39818,1
459,34743,17100,1
460,16706,29495,1
461,20890,13466,1
462,41924,32160,1
463,27746,28607,1
464,14569,14482,1
465,17294,17197,1
466,36205,876,1
467,9242,12675,1
468,10498,14733,1
469,25545,4229,1
470,22391,4230,1
471,27362,20197,1
472,8477,32124,1
473,26545,8133,1
474,23240,7350,1
475,16868,34443,1
476,18530,5363,1
477,16868,15090,1
478,36385,35633,1
479,41276,19054,1
480,833,16493,1
481,31333,3320,1
482,14301,23933,1
483,11788,830,1
484,20289,3743,1
485,19451,37268,1
486,6406,10616,1
487,31445,27487,1
488,8404,27489,1
489,1195,1092,1
490,10499,14144,1
491,12646,32203,1
492,23105,28813,1
493,3263,30504,1
494,21162,26121,1
495,34804,33821,1
496,16102,18961,1
497,14764,24143,1
498,30545,7352,1
499,11016,17311,1
500,1593,26929,1
501,32644,6077,1
502,30784,12403,1
503,30761,4324,1
504,36999,18830,1
505,32013,11897,1
506,10479,34734,1
507,1381,22389,2
508,37829,19921,1
509,23149,21057,1
510,10486,14826,1
511,31603,8654,1
512,1444,39574,1
513,6697,16224,1
514,19832,37894,1
515,34629,35300,1
516,22222,36335,1
517,3623,5160,1
518,28797,2567,1
519,13778,32406,1
520,977,27692,1
521,23307,16225,1
522,39103,4735,1
523,27811,38111,1
524,19031,21509,1
525,17184,21513,1
526,16233,4710,1
527,16903,25324,1
528,35034,17190,1
529,41989,10327,1
530,26926,16491,1
531,16329,27821,1
532,24510,37410,1
533,16331,7725,1
534,26213,9191,1
535,6003,15264,1
