,O,D,flow
0,24432,23201,1
1,1469,13778,1
2,20293,4550,1
3,5624,21735,1
4,27489,17149,1
5,27388,35870,1
6,14730,19970,1
7,33331,36306,1
8,5846,10563,1
9,5771,7138,1
10,34764,37531,1
11,16422,3383,1
12,20259,28656,1
13,10495,12056,1
14,8781,17680,1
15,8781,14083,1
16,16430,21522,1
17,16654,3200,1
18,5456,32898,1
19,15254,3930,1
20,19361,10224,1
21,33741,33142,1
22,12100,3223,1
23,12095,19129,1
24,21999,7967,1
25,25120,30305,1
26,14982,12344,1
27,18029,4490,1
28,1379,4510,1
29,1631,35802,1
30,15756,16642,1
31,26579,7363,1
32,606,25439,1
33,16258,32202,1
34,1103,13911,1
35,7076,6827,1
36,12753,14751,1
37,23251,11452,1
38,37410,2637,1
39,28715,14716,1
40,2441,26929,1
41,24342,11886,1
42,8132,28827,1
43,8132,28606,1
44,17318,20394,1
45,14354,16797,1
46,874,16602,1
47,24147,26667,1
48,28880,2636,1
49,1378,27911,1
50,23202,18260,1
51,871,18279,1
52,24239,28896,1
53,24239,101,1
54,6798,34341,1
55,21975,35974,1
56,7503,9503,1
57,27698,19828,1
58,8308,27048,1
59,28296,27695,1
60,9013,7523,1
61,13368,20315,1
62,41285,10499,1
63,22933,103,1
64,22933,35622,1
65,1960,35622,1
66,33594,25502,1
67,3038,23112,1
68,14169,14167,1
69,6035,8781,1
70,20903,8781,1
71,6752,39724,1
72,38064,30114,1
73,34643,24992,1
74,15201,24992,1
75,39255,16793,1
76,16923,11922,1
77,16412,10504,1
78,1102,11933,1
79,10472,6373,1
80,14743,10866,1
81,4273,20304,1
82,31248,40182,1
83,35315,25248,1
84,27640,34988,1
85,1369,15254,1
86,18587,21267,1
87,12752,29787,1
88,1025,19399,1
89,15866,8676,1
90,14405,26235,1
91,38202,16511,1
92,22198,13368,1
93,17047,7945,1
94,1077,27911,1
95,7500,28066,1
96,16868,34475,1
97,7145,18816,1
98,13475,18118,1
99,14666,3465,1
100,9422,19698,1
101,24356,15155,1
102,103,10726,1
103,37109,31289,1
104,15474,4572,1
105,9805,4576,1
106,15547,37682,1
107,2773,12545,1
108,33869,22415,1
109,36423,37000,1
110,17287,25746,2
111,20671,11884,1
112,20312,24615,1
113,28064,2820,1
114,27319,6392,1
115,32823,17978,1
116,3403,40283,1
117,27477,20229,1
118,35891,28720,1
119,9590,12747,1
120,35307,37004,1
121,9593,10689,1
122,15483,27678,1
123,35771,37014,1
124,24723,11908,1
125,12099,40665,1
126,25207,27856,1
127,11079,28686,1
128,14135,6902,1
129,656,32917,1
130,16408,11924,1
131,28805,5681,1
132,22045,12229,1
133,12753,29815,1
134,25781,35827,1
135,19548,33294,1
136,8190,1021,1
137,19139,13400,1
138,17189,20348,1
139,9006,38435,1
140,7947,40940,1
141,22246,13684,1
142,32005,38966,1
143,31336,39224,1
144,16791,28778,1
145,8406,31325,1
146,17275,27587,1
147,17012,31339,1
148,7140,34285,1
149,7137,6494,1
150,20030,4496,1
151,25004,32650,1
152,13620,27853,1
153,3223,11452,1
154,33464,40389,1
155,15024,19139,1
