,O,D,flow
320,26977,66685,1
321,60109,22647,1
322,68072,30368,1
323,25194,17522,1
324,5549,33734,1
325,5217,83001,1
326,24338,28749,1
327,26637,79512,1
328,1829,38679,1
329,68294,69439,1
330,42456,82712,1
331,51999,46745,1
332,4078,63294,1
333,8398,78083,1
334,19977,80190,1
335,39823,36161,1
336,37288,38388,1
337,62831,70187,1
338,51398,2279,1
339,34586,34966,1
340,35560,11343,1
341,62859,13900,1
342,46071,34503,1
343,1764,76783,1
344,36732,8168,1
345,73385,78131,1
346,9176,27543,1
347,31871,6006,1
348,30717,6006,1
349,7474,13414,1
350,67755,47148,1
351,72205,40244,1
352,76895,72865,1
353,29816,68681,1
354,19544,33561,1
355,9558,5217,1
356,38548,83179,1
357,74756,11385,1
358,13184,33814,1
359,4039,32579,1
360,67666,7480,1
361,47410,10002,1
362,81520,41737,1
363,74855,9432,1
364,13322,34643,1
365,61713,80118,1
366,35155,18265,1
367,40435,19302,1
368,1021,54190,1
369,16332,63001,1
370,69200,66169,1
371,44204,59397,1
372,556,35712,1
373,54442,73987,1
374,36042,4682,1
375,63707,50987,1
376,36605,63079,1
377,79774,43338,1
378,23729,53732,1
379,11165,79729,1
380,28617,17348,1
381,50457,1259,1
382,71724,54572,1
383,61178,61356,1
384,27324,24698,1
385,21261,66374,1
386,4298,12302,1
387,62049,37376,1
388,46528,29111,1
389,46544,14619,1
390,18932,47757,1
391,60999,62289,1
392,69697,55151,1
393,16442,47713,1
394,35186,33468,1
395,17563,27557,1
396,33820,36689,1
397,10735,76646,1
398,79025,72954,1
399,51414,21374,1
400,10009,13857,1
401,17504,70923,1
402,8829,42598,1
403,19220,31305,1
404,23750,24406,1
405,82681,57991,1
406,35702,39408,1
407,29296,63895,1
408,29296,82059,1
409,75548,10857,1
410,15948,24099,1
411,16122,80755,1
412,2319,44170,1
413,16122,50396,1
414,43632,47009,1
415,11666,10485,1
416,7064,22705,1
417,73838,60105,1
418,61240,5755,1
419,60706,61758,1
420,67576,72656,1
421,80336,60206,1
422,14966,58943,1
423,14486,34469,1
424,78255,19710,1
425,50917,12302,1
426,18923,30075,1
427,20210,42491,1
428,26016,12903,1
429,41170,64793,1
430,65680,16858,1
431,3552,17226,1
432,26279,23309,1
433,17226,49241,1
434,52236,31212,1
435,41439,15040,1
436,7658,25030,1
437,41578,5342,1
438,53624,47820,1
439,1123,33848,1
440,30670,39236,1
441,60725,36996,1
442,62453,73789,1
443,31980,81204,1
444,19489,63721,1
445,45021,79275,1
446,24212,62369,1
447,56590,38763,1
448,1684,18481,1
449,2930,70509,1
450,64352,49589,1
451,2768,51547,1
452,76715,58228,1
453,52235,50650,1
454,50880,59656,1
455,29834,77150,1
456,71805,20653,1
457,20616,61866,1
458,20616,58929,1
459,20616,18565,1
460,9652,76374,1
461,60411,42555,1
462,53902,17448,1
463,1318,14769,1
464,46590,14575,1
465,53636,81302,1
466,463,45456,1
467,1092,34643,1
468,941,38012,1
469,48783,27205,1
470,29839,56563,1
471,44199,27986,1
472,56289,54292,1
473,49525,3390,1
474,75296,35154,1
475,63283,5589,1
476,59129,6738,1
477,26279,28924,1
478,38692,31985,1
479,61265,52171,1
480,77879,69549,1
481,20186,38618,1
482,5808,9372,1
483,38604,65164,1
484,69816,2134,1
485,37854,79123,1
486,23910,69823,1
487,21490,14894,1
488,52831,26917,1
489,21490,35875,1
490,48546,21157,1
491,14108,47820,1
492,44412,44180,1
493,40634,49315,1
494,43696,83001,1
495,51875,14763,1
496,60910,39448,1
497,7961,29304,1
498,27762,60516,1
499,20109,33088,1
500,8319,16169,1
501,15748,16169,1
502,15748,78061,1
503,73967,65765,1
504,47757,50339,1
505,41071,29345,1
506,68818,49153,1
507,43414,3161,1
508,72341,44940,1
509,55994,5909,1
510,55994,82839,1
511,45263,47264,1
512,36110,82009,1
513,63535,32317,1
514,25940,36726,1
515,76067,38644,1
516,70004,29013,1
517,51335,80183,1
518,70120,11042,1
519,68132,2552,1
520,52030,46922,1
521,43842,39856,1
522,12176,66157,1
523,35802,82807,1
524,43842,65940,1
525,74146,12120,1
526,218,2912,1
527,61702,52555,1
528,39469,47737,1
529,29304,42687,1
530,75616,46071,1
531,17340,10369,1
532,70272,34052,1
533,17922,78054,1
534,21914,45150,1
535,37662,62059,1
536,19748,8168,1
537,52272,69951,1
538,9619,61482,1
539,22651,79558,1
540,76740,45962,1
541,17348,78077,1
542,61312,32308,1
543,82624,24948,1
544,54542,44062,1
545,13269,2670,1
546,34231,70141,1
547,83187,11688,1
548,25041,7482,1
549,25041,34049,1
550,35539,80311,1
551,14258,15300,1
552,8971,300,1
553,46691,38584,1
554,12914,38612,1
555,37592,24208,1
556,80369,38199,1
557,43511,64085,1
558,42453,64085,1
559,32687,51985,1
560,13960,81907,1
561,29674,37239,1
562,32695,82122,1
563,3074,24700,1
564,3074,73647,1
565,22466,38012,1
566,46287,45456,1
567,4914,71765,1
568,66160,68964,1
569,2404,15449,1
570,39710,35519,1
571,34318,6385,1
572,11862,68414,1
573,18262,70464,1
574,41669,25304,1
575,60216,62289,1
576,34390,3741,1
577,33138,10928,1
578,61408,71503,1
579,62875,1599,1
580,79761,7269,1
581,57919,31119,1
582,13618,75914,1
583,69122,72132,1
584,34928,36696,1
585,26412,20748,1
586,29139,33346,1
587,2785,34928,1
588,21374,54196,1
589,74658,52908,1
590,39478,69297,1
591,82503,57802,1
592,78042,2672,1
593,19854,28091,1
594,55242,76825,1
595,67748,82834,1
596,74802,76740,1
597,24461,11442,1
598,61282,31836,1
599,68366,4908,1
600,26218,24331,1
601,68515,33003,1
602,37478,58008,1
603,23239,67660,1
604,81720,52236,1
605,71511,32371,1
606,13487,52236,1
607,29990,60691,1
608,54749,29198,1
609,75779,83179,1
610,54821,42342,1
611,47604,42342,1
612,38763,78414,1
613,55810,7212,1
614,64915,7212,1
615,28225,48316,1
616,15513,11441,1
617,40204,21904,1
618,17264,73803,1
619,47460,51553,1
620,7595,72720,1
621,54740,15128,1
622,28953,79324,1
623,39226,40435,1
624,29632,32371,1
625,38088,67660,1
626,77879,4551,1
627,29021,33802,1
628,77879,44018,1
629,71277,71719,1
630,49328,59010,1
631,74433,78978,1
632,45410,23606,1
633,47971,23542,1
634,69291,35569,1
635,1194,37913,1
636,9000,62349,1
637,70752,19763,1
638,40035,34928,1
639,62595,33829,1
640,69209,72053,1
641,36188,71102,1
642,79822,25023,1
643,78303,5549,1
644,56389,7482,1
645,78703,29892,1
646,68145,76810,1
647,49484,74802,1
648,22052,74295,1
649,80118,67660,1
650,1578,44563,1
651,47971,33117,1
652,33762,5778,1
653,67987,38173,1
654,74714,3074,1
655,11042,65820,1
656,31810,5352,1
657,14486,76753,1
658,1122,80827,1
659,71331,49229,1
660,75296,69696,1
661,34483,11419,1
