"year","group_mode","group_purpose","odistrict","downtown","soma","n_beach_and_chinatown","western_market","mission_and_potrero","noe_and_glen_and_bernal","marina_and_n_heights","richmond","bayshore","outer_mission","hill_districts","sunset","south_bay","east_bay","north_bay"
"2015","uber/lyft","discretionary","Richmond",421.0,127.0,330.0,471.0,97.0,32.0,402.0,794.0,6.0,12.0,59.0,355.0,23.0,0.0,12.0
"2050","total","mandatory","Bayshore",13385.0,7775.0,3486.0,3589.0,12552.0,4487.0,2535.0,1419.0,27149.0,5115.0,4215.0,5455.0,23811.0,9424.0,1364.0
"2050","walk/bike","mandatory","N. Beach/Chinatown",10983.0,2505.0,8529.0,1205.0,1146.0,123.0,2226.0,222.0,107.0,46.0,67.0,175.0,45.0,1.0,20.0
"2015","walk/bike","total","Bayshore",670.0,374.0,181.0,322.0,2428.0,2310.0,136.0,50.0,19381.0,1784.0,448.0,242.0,969.0,0.0,6.0
"2050","transit","mandatory","Mission/Potrero",27988.0,8750.0,4946.0,3293.0,9227.0,1379.0,2213.0,933.0,2795.0,1219.0,2359.0,2499.0,4738.0,9312.0,456.0
"2050","transit","discretionary","North Bay",1122.0,167.0,298.0,123.0,89.0,20.0,187.0,62.0,18.0,24.0,17.0,67.0,32.0,238.0,8001.0
"2015","uber/lyft","mandatory","Noe/Glen/Bernal",202.0,87.0,137.0,82.0,85.0,36.0,46.0,13.0,41.0,19.0,46.0,47.0,61.0,21.0,4.0
"2050","walk/bike","total","N. Beach/Chinatown",36375.0,7078.0,41530.0,4027.0,2749.0,286.0,9974.0,481.0,215.0,93.0,109.0,297.0,66.0,1.0,34.0
"2015","total","total","Noe/Glen/Bernal",16381.0,6385.0,4192.0,12607.0,24968.0,26706.0,5021.0,2680.0,14556.0,11588.0,10202.0,9507.0,15797.0,6334.0,1451.0
"2015","transit","discretionary","Western Market",7903.0,1424.0,1586.0,3623.0,1672.0,870.0,1667.0,1030.0,342.0,619.0,611.0,1730.0,499.0,899.0,126.0
"2015","drive","discretionary","Marina/N. Heights",9234.0,3080.0,8093.0,12562.0,6858.0,2555.0,20999.0,9339.0,2119.0,1954.0,2160.0,6533.0,5043.0,4008.0,4187.0
"2015","walk/bike","discretionary","East Bay",0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,883040.0,538.0
"2050","transit","mandatory","Marina/N. Heights",9520.0,2707.0,2632.0,2260.0,2226.0,469.0,2422.0,1303.0,589.0,432.0,756.0,1461.0,1539.0,3819.0,511.0
"2015","walk/bike","mandatory","Hill Districts",306.0,113.0,72.0,364.0,387.0,555.0,115.0,159.0,268.0,1213.0,1783.0,1220.0,372.0,0.0,7.0
"2015","transit","mandatory","Bayshore",5265.0,1642.0,1256.0,586.0,1241.0,438.0,322.0,125.0,2131.0,579.0,610.0,527.0,1162.0,970.0,62.0
"2050","transit","total","East Bay",83549.0,22523.0,14513.0,6266.0,11532.0,1584.0,4974.0,1816.0,2560.0,1383.0,1426.0,3332.0,24015.0,453962.0,1698.0
"2015","drive","discretionary","Bayshore",5456.0,3901.0,2112.0,4168.0,13868.0,8624.0,2133.0,1052.0,32519.0,9746.0,3900.0,4410.0,16898.0,4256.0,644.0
"2015","uber/lyft","discretionary","Sunset",283.0,115.0,182.0,505.0,209.0,143.0,227.0,345.0,37.0,240.0,337.0,1682.0,186.0,6.0,2.0
"2050","total","discretionary","Marina/N. Heights",27842.0,9870.0,22109.0,29457.0,11583.0,3383.0,55693.0,15787.0,3291.0,2752.0,2973.0,9472.0,5708.0,5676.0,4755.0
"2050","walk/bike","mandatory","Marina/N. Heights",3907.0,1078.0,2129.0,3195.0,826.0,154.0,6031.0,1099.0,102.0,65.0,152.0,567.0,88.0,0.0,53.0
"2015","uber/lyft","discretionary","Marina/N. Heights",3147.0,777.0,3215.0,1891.0,573.0,158.0,2807.0,412.0,56.0,27.0,80.0,223.0,31.0,25.0,7.0
"2050","walk/bike","discretionary","Western Market",12555.0,6548.0,2930.0,36905.0,8043.0,2172.0,11335.0,2082.0,261.0,226.0,1075.0,2480.0,91.0,0.0,20.0
"2015","uber/lyft","total","South Bay",434.0,227.0,359.0,183.0,216.0,106.0,139.0,46.0,161.0,364.0,174.0,375.0,60843.0,619.0,6.0
"2050","drive","discretionary","Sunset",5458.0,4037.0,2379.0,13957.0,10667.0,7212.0,7418.0,21329.0,7156.0,19588.0,19469.0,107368.0,43654.0,5045.0,3416.0
"2050","walk/bike","discretionary","N. Beach/Chinatown",25392.0,4573.0,33001.0,2822.0,1603.0,163.0,7748.0,259.0,108.0,47.0,42.0,122.0,21.0,0.0,14.0
"2050","drive","mandatory","Western Market",5150.0,3760.0,2347.0,6590.0,5563.0,1816.0,5000.0,3275.0,2272.0,1315.0,1807.0,5062.0,7059.0,6102.0,2684.0
"2015","drive","mandatory","Western Market",5388.0,2958.0,2315.0,5622.0,4451.0,1785.0,4533.0,2838.0,1673.0,1195.0,1703.0,4054.0,6309.0,5677.0,2494.0
"2050","transit","discretionary","Downtown",15652.0,11886.0,8691.0,9590.0,13156.0,4200.0,7082.0,4273.0,6304.0,3766.0,2569.0,5854.0,4173.0,14746.0,1082.0
"2015","drive","total","Noe/Glen/Bernal",5834.0,3830.0,2206.0,8209.0,15840.0,12945.0,3717.0,2310.0,11094.0,8637.0,6987.0,7797.0,14405.0,5306.0,1370.0
"2050","transit","total","Mission/Potrero",41049.0,12830.0,7033.0,5718.0,14723.0,2864.0,3287.0,1435.0,4880.0,2466.0,3224.0,3953.0,5893.0,11536.0,574.0
"2015","walk/bike","total","Hill Districts",495.0,196.0,116.0,1310.0,894.0,1957.0,255.0,329.0,471.0,3619.0,7631.0,4143.0,666.0,0.0,9.0
"2015","transit","mandatory","Downtown",17414.0,5017.0,9543.0,12348.0,16118.0,5149.0,8422.0,5441.0,5038.0,4402.0,3726.0,7488.0,20044.0,46397.0,5209.0
"2050","drive","discretionary","Hill Districts",2227.0,2004.0,972.0,5422.0,6544.0,5853.0,2281.0,3220.0,5753.0,11982.0,11878.0,19346.0,14244.0,1935.0,768.0
"2015","uber/lyft","total","Downtown",33535.0,10236.0,18433.0,5243.0,4403.0,558.0,4928.0,772.0,669.0,207.0,318.0,701.0,445.0,622.0,63.0
"2050","drive","mandatory","East Bay",13871.0,11961.0,6380.0,6233.0,12630.0,2788.0,5712.0,3310.0,7259.0,2893.0,2426.0,6598.0,239381.0,2988994.0,86252.0
"2015","drive","total","South Bay",19429.0,13076.0,8543.0,14508.0,27705.0,14327.0,10458.0,11677.0,29858.0,37314.0,18874.0,47349.0,7041942.0,359538.0,9054.0
"2050","uber/lyft","mandatory","Outer Mission",239.0,228.0,96.0,62.0,136.0,28.0,47.0,14.0,54.0,67.0,124.0,131.0,111.0,13.0,1.0
"2015","uber/lyft","total","Bayshore",643.0,389.0,494.0,192.0,458.0,220.0,106.0,18.0,617.0,183.0,103.0,75.0,156.0,25.0,2.0
"2015","transit","mandatory","Richmond",6070.0,970.0,1136.0,910.0,495.0,135.0,1091.0,1383.0,127.0,115.0,550.0,1133.0,402.0,779.0,158.0
"2015","drive","discretionary","Mission/Potrero",11646.0,9538.0,5364.0,14434.0,38446.0,12794.0,6633.0,3504.0,14118.0,7711.0,5151.0,7584.0,14857.0,8093.0,1831.0
"2050","total","discretionary","Sunset",12281.0,6029.0,3740.0,18994.0,12881.0,8418.0,9239.0,26201.0,7745.0,24479.0,25644.0,173366.0,46287.0,5674.0,3509.0
